Name, Total Faces Found, Total Iterations, Ratio of Faces Found to Total Iterations, Amount of Faces Missed, Wears Glasses?,Overriden,Lighting Conditions,FPS,Comments
1,107,176,0.6079545455,69,True,False,Optimal,6.5142436024,
1,1,205,0.0048780488,204,True,False,Sub-optimal,9.0255815673,
1,125,150,0.8333333333,25,True,True,Optimal,6.086233968,
1,3,206,0.0145631068,203,True,True,Sub-optimal,8.7150146339,
2,87,91,0.956043956,4,False,False,Optimal,4.5920809247,
2,80,169,0.4733727811,89,False,False,Sub-optimal,7.2164262662,User experienced eye detected as face
3,94,147,0.6394557823,53,True,False,Optimal,4.9992599119,Outside
3,94,155,0.6064516129,61,True,True,Optimal,5.5845092723,Outside
4,107,327,0.3272171254,220,True,False,Sub-optimal,8.5506473864,Suboptimal due to backlit conditions
4,140,301,0.4651162791,161,True,True,Sub-optimal,7.7787524388,
5,220,236,0.9322033898,16,True,False,Optimal,5.5129261803,
5,44,279,0.1577060932,235,True,False,Sub-optimal,6.6139289311,A glasses wearer in suboptimal light experiences very poor results
5,240,262,0.9160305344,22,True,True,Optimal,6.9535028966,
5,1,125,0.008,124,True,True,Sub-optimal,3.8443485417,
6,52,147,0.3537414966,95,False,False,Optimal,4.4063234436,When outside with moving objects in background â€¦ FPS is dropped
6,29,122,0.237704918,93,False,False,Sub-optimal,4.4019398061,
7,14,149,0.0939597315,135,True,False,Optimal,4.8148742599,
7,10,109,0.0917431193,99,True,True,Optimal,4.5580408425,
8,220,233,0.9442060086,13,True,False,Optimal,5.0081702423,
8,129,178,0.7247191011,49,True,True,Optimal,4.5247208914,
9,15,218,0.0688073394,203,True,False,Sub-optimal,6.337571356,Better performance with glasses correction even at low light conditions
9,1,151,0.0066225166,150,True,True,Sub-optimal,4.9586778658,
10,399,478,0.8347280335,79,False,False,Optimal,5.6284041562,
10,72,214,0.3364485981,142,False,False,Sub-optimal,5.7638785242,
11,242,262,0.9236641221,20,True,False,Optimal,6.1987409402,
11,71,111,0.6396396396,40,True,True,Optimal,6.4195721886,
11,182,206,0.8834951456,24,True,False,Optimal,6.4073713346,
12,170,171,0.9941520468,1,False,False,Optimal,5.3152920866,
12,165,174,0.9482758621,9,True,False,Sub-optimal,6.6334897812,
13,107,109,0.9816513761,2,True,False,Optimal,4.8573964496,
13,90,156,0.5769230769,66,True,True,Optimal,5.5219410079,
14,142,146,0.9726027397260274,4,False,False,Optimal,4.220963290804426
14,89,165,0.5393939393939394,76,False,False,Sub-optimal,4.299446727047709
15,122,123,0.991869918699187,1,False,False,Optimal,3.9924413003160595
15,128,149,0.8590604026845637,21,False,False,Sub-optimal,3.9883520324506967
TEST2,682,739,0.9228687415426252,57,True,False,Optimal,8.097872122376891
,0,255,0.0,255,True,False,Optimal,7.9885891889252205
,9,270,0.03333333333333333,261,True,False,Optimal,8.299443970420938
